순번,설치주소,설치위치,설치년도,설치형상,관리부서
136,충청남도 천안시 신부동 811 일원,신부공원,1995,정자(8개),공원관리1팀
137,충청남도 천안시 성남면 용원리 668,천안온천중앙공원,2006,정자(1개),공원관리1팀
138,충청남도 천안시 성남면 용원리 668,천안온천중앙공원,2006,파고라(2개),공원관리1팀
139,충청남도 천안시 동남구 성남면 대화리 313,생활권공원1,2013,정자(2개),공원관리1팀
140,충청남도 천안시 동남구 성남면 대화리 313,생활권공원1,2013,파고라(2개),공원관리1팀
141,충청남도 천안시 동남구 성남면 대화리 376,생활권공원2,2013,파고라(4개),공원관리1팀
142,충청남도 천안시 동남구 풍세면 용정리 970,1호공원,2013,파고라(3개),공원관리1팀
143,충청남도 천안시 동남구 풍세면 보성리 818,3호공원,2013,파고라(2개),공원관리1팀
144,충청남도 천안시 동남구 풍세면 보성리 818,3호공원,2013,팔각정(1개),공원관리1팀
145,충청남도 천안시 동남구 신방동 1521,신방문화공원,2009,파고라(6개),공원관리1팀
146,충청남도 천안시 동남구 신방동 945,건강공원,2021,파고라(16개),공원관리1팀
147,충청남도 천안시 동남구 청수동 270,청수2공원,2009,파고라(5개),공원관리1팀
148,충청남도 천안시 동남구 청당동 474,청당1공원,2009,파고라(3개),공원관리1팀
149,충청남도 천안시 동남구 청당동 546,청당2공원,2009,파고라(3개),공원관리1팀
150,충청남도 천안시 동남구 청당동 602,청당3공원,2009,파고라(2개),공원관리1팀
151,충청남도 천안시 동남구 봉명동 209-3,봉명공원(봉명1공원),,파고라(1개),공원관리1팀
152,충청남도 천안시 동남구 봉명동 255,개목공원(봉명2공원),,파고라(1개),공원관리1팀
153,충청남도 천안시 동남구 봉명동 492,봉서공원(봉명3공원),2022,파고라(1개),공원관리1팀
154,충청남도 천안시 동남구 봉명동 426,솔모루공원(봉명5공원),,정자(1개),공원관리1팀
155,충청남도 천안시 동남구 쌍용동 551-4,차돌공원(쌍용1공원),,파고라(1개),공원관리1팀
156,충청남도 천안시 동남구 신부동 497-1,신부1공원,2021,파고라(2개),공원관리1팀
157,충청남도 천안시 동남구 신부2길 12,시민문화공원(신부3공원),,정자(1개),공원관리1팀
158,충청남도 천안시 동남구 신부동 542,신부6공원,,정자(1개),공원관리1팀
159,충청남도 천안시 동남구 신부동 671,신부8공원,,파고라(1개),공원관리1팀
160,충청남도 천안시 동남구 신부동 888,성정9공원,,파고라(2개),공원관리1팀
161,충청남도 천안시 동남구 안서동 270-5,안서3어린이공원,,파고라(2개),공원관리1팀
162,충청남도 천안시 동남구 안서동 228-6,안서2어린이공원,,정자(2개),공원관리1팀
163,충청남도 천안시 동남구 다가동 391-1,다가공원(다가1공원),,정자(1개),공원관리1팀
