번호,인허가일자,영업상태명,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명
46,2006-12-08,영업/정상,,충청남도 천안시 동남구 신부동 354-1,충청남도 천안시 동남구 만남로 43 (신부동),,CGV천안터미널 1관
47,2020-04-09,영업/정상,,충청남도 천안시 동남구 성남면 화성리 188-6,충청남도 천안시 동남구 성남면 5산단로 331-17,31244,천안자동차극장 2관
48,2020-04-09,영업/정상,,충청남도 천안시 동남구 성남면 화성리 188-6,충청남도 천안시 동남구 성남면 5산단로 331-17,31244,천안자동차극장 1관
49,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 1관
50,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 2관
51,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 3관
52,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 4관
53,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 5관
54,2021-11-17,영업/정상,,충청남도 천안시 서북구 불당동 1537-2,"충청남도 천안시 서북구 불당21로 67-8, 7층 (불당동)",31156,롯데시네마 천안불당 6관
55,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 1관
56,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 2관
57,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 3관
58,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 4관
59,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 5관
60,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 6관
61,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 7관
62,2021-07-23,영업/정상,,충청남도 천안시 서북구 불당동 1485,"충청남도 천안시 서북구 번영로 201, 3-4층 (불당동)",31156,CGV 천안시청 8관
63,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 1관
64,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 2관
65,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 3관
66,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 4관
67,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 5관
68,2022-12-21,영업/정상,,충청남도 천안시 동남구 청당동 547,"충청남도 천안시 동남구 청수11로 35, 7~8층 (청당동)",31198,롯데시네마 천안청당 6관
69,2020-09-23,영업/정상,,충청남도 천안시 서북구 불당동 1616 지앤지홀딩스타워 5~8층,"충청남도 천안시 서북구 불당33길 28, 지앤지홀딩스타워 5~8층 (불당동)",31156,씨네큐 천안 불당 1관
70,2020-09-23,영업/정상,,충청남도 천안시 서북구 불당동 1616 지앤지홀딩스타워 5~8층,"충청남도 천안시 서북구 불당33길 28, 지앤지홀딩스타워 5~8층 (불당동)",31156,씨네큐 천안 불당 2관
71,2020-09-23,영업/정상,,충청남도 천안시 서북구 불당동 1616 지앤지홀딩스타워 5~8층,"충청남도 천안시 서북구 불당33길 28, 지앤지홀딩스타워 5~8층 (불당동)",31156,씨네큐 천안 불당 3관
72,2020-09-23,영업/정상,,충청남도 천안시 서북구 불당동 1616 지앤지홀딩스타워 5~8층,"충청남도 천안시 서북구 불당33길 28, 지앤지홀딩스타워 5~8층 (불당동)",31156,씨네큐 천안 불당 4관
73,2001-09-18,폐업,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),,야우리시네마(제1관)
74,2001-09-18,폐업,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),,야우리시네마(제2관)
75,2001-09-18,폐업,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),330-160,야우리시네마(제3관)
76,2001-09-18,폐업,,충청남도 천안시 동남구 신부동 354-1번지,충청남도 천안시 동남구 만남로 43 (신부동),330-160,야우리시네마(제4관)
77,2005-03-04,영업/정상,,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),32582,메가박스공주제1관
78,2005-03-04,영업/정상,314-110,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),32582,메가박스공주제2관
79,2005-03-04,영업/정상,314-110,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),32582,메가박스공주제3관
80,2005-03-04,영업/정상,314-110,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),,메가박스공주제4관
81,2005-03-04,영업/정상,314-803,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),32582,메가박스공주제5관
82,2005-03-04,영업/정상,,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),,메가박스 공주제6관
83,2005-01-27,영업/정상,,충청남도 공주시 신관동 248-3번지,충청남도 공주시 흑수골길 12 (신관동),,메가박스 공주 제7관
84,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(1관)
85,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(2관)
86,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(3관)
87,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(4관)
88,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(5관)
89,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(6관)
90,2005-06-08,취소/말소/만료/정지/중지,314-802,충청남도 공주시 신관동 192-5번지,충청남도 공주시 공주대학로 47 (신관동),,롯데시네마공주(7관)
91,2012-08-01,폐업,,충청남도 보령시 대천동 324-4번지,충청남도 보령시 대흥로 51 (대천동),33449,롯데시네마 보령 제6관
92,2012-08-01,폐업,355-933,충청남도 보령시 대천동 324-4번지,충청남도 보령시 대흥로 51 (대천동),33449,롯데시네마 보령 제7관
93,2015-04-23,폐업,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마
94,2015-04-23,폐업,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마
95,2015-04-23,폐업,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마
96,2001-08-10,폐업,355-931,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),,명보시네마2관
97,2012-08-01,영업/정상,,충청남도 보령시 대천동 324-4,충청남도 보령시 대흥로 51 (대천동),33449,씨지브이 보령 GH관
98,2012-08-01,영업/정상,,충청남도 보령시 대천동 324-4,충청남도 보령시 대흥로 51 (대천동),33449,씨지브이 보령 5관
99,2017-12-22,영업/정상,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마 1관
100,2017-12-22,영업/정상,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마 2관
101,2017-12-22,영업/정상,,충청남도 보령시 대천동 422-4번지,충청남도 보령시 중앙로 125 (대천동),33455,명보시네마 3관
102,2001-07-09,영업/정상,355-943,충청남도 보령시 신흑동 2204-1번지 (2지구2브럭),,,대천비치시네마
103,2012-08-01,영업/정상,,충청남도 보령시 대천동 324-4,충청남도 보령시 대흥로 51 (대천동),33449,씨지브이 보령 1관
104,2012-08-01,영업/정상,,충청남도 보령시 대천동 324-4,충청남도 보령시 대흥로 51 (대천동),33449,씨지브이 보령 2관
105,2012-08-01,영업/정상,,충청남도 보령시 대천동 324-4,충청남도 보령시 대흥로 51 (대천동),33449,씨지브이 보령 GS관
106,1998-03-22,휴업,336-010,충청남도 아산시 온천동 86-3번지,,,동보극장
107,1998-03-23,휴업,336-010,충청남도 아산시 온천동 87-5번지,충청남도 아산시 온천대로 1502-3 (온천동),,온양극장
108,2002-10-14,폐업,336-857,충청남도 아산시 배방읍 장재리 515-3번지,,,동방마트자동차극장
109,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널1관
110,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널2관
111,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널3관
112,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널4관
113,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널5관
114,2014-01-22,영업/정상,,충청남도 아산시 모종동 555-5,충청남도 아산시 번영로 225 (모종동),31522,롯데시네마 아산터미널 6관
115,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 1관
116,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 2관
117,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 3관
118,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 4관
119,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 5관
120,2022-12-29,영업/정상,,충청남도 아산시 온천동 79-1,"충청남도 아산시 온천대로 1538, 6층 (온천동)",31520,CGV아산 6관
121,2021-02-17,영업/정상,,충청남도 아산시 방축동 379,충청남도 아산시 신정호길 46 (방축동),31558,큐브시네마
122,2002-01-02,폐업,356-803,충청남도 서산시 동문동 884-14번지,,,크리스탈소극장
123,2002-01-02,폐업,356-805,충청남도 서산시 읍내동 143-17번지,,,서산극장
124,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(1관)
125,2003-12-26,영업/정상,,충청남도 서산시 동문동 193-1번지 외 2필지,"충청남도 서산시 율지18로 38 (동문동,외 2필지)",,롯데시네마 서산관(2관)
