grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection
C00223,210500.000,454000.000,211000.000,454500.000,210750.000,454250.000,500,center_in_cheonan
C00224,211000.000,454000.000,211500.000,454500.000,211250.000,454250.000,500,center_in_cheonan
C00225,211500.000,454000.000,212000.000,454500.000,211750.000,454250.000,500,center_in_cheonan
C00226,212000.000,454000.000,212500.000,454500.000,212250.000,454250.000,500,center_in_cheonan
C00227,212500.000,454000.000,213000.000,454500.000,212750.000,454250.000,500,center_in_cheonan
C00228,213000.000,454000.000,213500.000,454500.000,213250.000,454250.000,500,center_in_cheonan
C00229,213500.000,454000.000,214000.000,454500.000,213750.000,454250.000,500,center_in_cheonan
C00230,214000.000,454000.000,214500.000,454500.000,214250.000,454250.000,500,center_in_cheonan
C00231,203000.000,454500.000,203500.000,455000.000,203250.000,454750.000,500,center_in_cheonan
C00232,203500.000,454500.000,204000.000,455000.000,203750.000,454750.000,500,center_in_cheonan
C00233,204000.000,454500.000,204500.000,455000.000,204250.000,454750.000,500,center_in_cheonan
C00234,204500.000,454500.000,205000.000,455000.000,204750.000,454750.000,500,center_in_cheonan
C00235,205000.000,454500.000,205500.000,455000.000,205250.000,454750.000,500,center_in_cheonan
C00236,205500.000,454500.000,206000.000,455000.000,205750.000,454750.000,500,center_in_cheonan
C00237,206000.000,454500.000,206500.000,455000.000,206250.000,454750.000,500,center_in_cheonan
C00238,206500.000,454500.000,207000.000,455000.000,206750.000,454750.000,500,center_in_cheonan
C00239,207000.000,454500.000,207500.000,455000.000,207250.000,454750.000,500,center_in_cheonan
C00240,207500.000,454500.000,208000.000,455000.000,207750.000,454750.000,500,center_in_cheonan
C00241,208000.000,454500.000,208500.000,455000.000,208250.000,454750.000,500,center_in_cheonan
C00242,208500.000,454500.000,209000.000,455000.000,208750.000,454750.000,500,center_in_cheonan
C00243,209000.000,454500.000,209500.000,455000.000,209250.000,454750.000,500,center_in_cheonan
C00244,209500.000,454500.000,210000.000,455000.000,209750.000,454750.000,500,center_in_cheonan
C00245,210000.000,454500.000,210500.000,455000.000,210250.000,454750.000,500,center_in_cheonan
C00246,210500.000,454500.000,211000.000,455000.000,210750.000,454750.000,500,center_in_cheonan
C00247,211000.000,454500.000,211500.000,455000.000,211250.000,454750.000,500,center_in_cheonan
C00248,211500.000,454500.000,212000.000,455000.000,211750.000,454750.000,500,center_in_cheonan
C00249,212000.000,454500.000,212500.000,455000.000,212250.000,454750.000,500,center_in_cheonan
C00250,214000.000,454500.000,214500.000,455000.000,214250.000,454750.000,500,center_in_cheonan
C00251,225000.000,454500.000,225500.000,455000.000,225250.000,454750.000,500,center_in_cheonan
