grid_id,x_min,y_min,x_max,y_max,center_x,center_y,grid_m,selection,center_adm_cd,center_adm_nm
C00207,225000.0,458250.0,225750.0,459000.0,225375.0,458625.0,750,center_in_cheonan,34011350,수신면
C00208,225750.0,458250.0,226500.0,459000.0,226125.0,458625.0,750,center_in_cheonan,34011350,수신면
C00209,226500.0,458250.0,227250.0,459000.0,226875.0,458625.0,750,center_in_cheonan,34011350,수신면
C00210,227250.0,458250.0,228000.0,459000.0,227625.0,458625.0,750,center_in_cheonan,34011350,수신면
C00211,228000.0,458250.0,228750.0,459000.0,228375.0,458625.0,750,center_in_cheonan,34011360,병천면
C00212,207000.0,459000.0,207750.0,459750.0,207375.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00213,207750.0,459000.0,208500.0,459750.0,208125.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00214,208500.0,459000.0,209250.0,459750.0,208875.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00215,209250.0,459000.0,210000.0,459750.0,209625.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00216,210000.0,459000.0,210750.0,459750.0,210375.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00217,210750.0,459000.0,211500.0,459750.0,211125.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00218,211500.0,459000.0,212250.0,459750.0,211875.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00219,212250.0,459000.0,213000.0,459750.0,212625.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00220,213000.0,459000.0,213750.0,459750.0,213375.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00221,213750.0,459000.0,214500.0,459750.0,214125.0,459375.0,750,center_in_cheonan,34011310,풍세면
C00222,215250.0,459000.0,216000.0,459750.0,215625.0,459375.0,750,center_in_cheonan,34011110,목천읍
C00223,216000.0,459000.0,216750.0,459750.0,216375.0,459375.0,750,center_in_cheonan,34011110,목천읍
C00224,216750.0,459000.0,217500.0,459750.0,217125.0,459375.0,750,center_in_cheonan,34011110,목천읍
C00225,217500.0,459000.0,218250.0,459750.0,217875.0,459375.0,750,center_in_cheonan,34011340,성남면
C00226,218250.0,459000.0,219000.0,459750.0,218625.0,459375.0,750,center_in_cheonan,34011340,성남면
C00227,219000.0,459000.0,219750.0,459750.0,219375.0,459375.0,750,center_in_cheonan,34011340,성남면
C00228,219750.0,459000.0,220500.0,459750.0,220125.0,459375.0,750,center_in_cheonan,34011340,성남면
C00229,220500.0,459000.0,221250.0,459750.0,220875.0,459375.0,750,center_in_cheonan,34011340,성남면
C00230,221250.0,459000.0,222000.0,459750.0,221625.0,459375.0,750,center_in_cheonan,34011340,성남면
C00231,222000.0,459000.0,222750.0,459750.0,222375.0,459375.0,750,center_in_cheonan,34011340,성남면
