address_key,provider,status,matched_query,lon,lat,score_or_type,raw_name,message
"충청남도 천안시 동남구 대흥로 292, 2층 (성황동)",gimi9,ok,"충청남도 천안시 동남구 대흥로 292, 2층 (성황동)",127.1497914129906,36.81393426010694,도로명 주소,문성동,
충청남도 천안시 동남구 대흥로 336-4 (신부동),gimi9,ok,충청남도 천안시 동남구 대흥로 336-4 (신부동),127.1518380821282,36.8175281055181,도로명 주소,신안동,
충청남도 천안시 동남구 대흥로 340 (신부동),gimi9,ok,충청남도 천안시 동남구 대흥로 340 (신부동),127.15175841357149,36.81778929736772,도로명 주소,신안동,
"충청남도 천안시 동남구 대흥로 90, 201호 (영성동, 영성펜타폴리스25)",gimi9,ok,"충청남도 천안시 동남구 대흥로 90, 201호 (영성동, 영성펜타폴리스25)",127.15229002193443,36.79940993358554,도로명 주소,중앙동,
충청남도 천안시 동남구 동면 광덕리 산15,gimi9,ok,충청남도 천안시 동남구 동면 광덕리 산15,127.34844364501562,36.789355528424,지번 주소,동면,
충청남도 천안시 동남구 동면 구도리 113-1,gimi9,ok,충청남도 천안시 동남구 동면 구도리 113-1,127.33658410641848,36.758311011884615,도로명 주소,동면,
충청남도 천안시 동남구 동면 구도리 165-2,gimi9,ok,충청남도 천안시 동남구 동면 구도리 165-2,127.3381140578308,36.76599369675548,도로명 주소,동면,
충청남도 천안시 동남구 동면 동산1길 59,gimi9,ok,충청남도 천안시 동남구 동면 동산1길 59,127.3478826515929,36.77831174431466,도로명 주소,동면,
충청남도 천안시 동남구 동면 동산1길 63,gimi9,ok,충청남도 천안시 동남구 동면 동산1길 63,127.34886825618462,36.77860147275858,도로명 주소,동면,
충청남도 천안시 동남구 동면 동산리 174,gimi9,ok,충청남도 천안시 동남구 동면 동산리 174,127.3629229356726,36.79654882631543,도로명 주소,동면,
충청남도 천안시 동남구 동면 송연리 259-4,gimi9,ok,충청남도 천안시 동남구 동면 송연리 259-4,127.353000229743,36.77443281589792,지번 주소,동면,
충청남도 천안시 동남구 동면 송연리 528-3,gimi9,ok,충청남도 천안시 동남구 동면 송연리 528-3,127.3461720683948,36.76508488062103,도로명 주소,동면,
충청남도 천안시 동남구 동면 장송리 292,gimi9,ok,충청남도 천안시 동남구 동면 장송리 292,127.38139183220744,36.77721401270597,지번 주소,동면,
충청남도 천안시 동남구 동면 죽계리 340-7,gimi9,ok,충청남도 천안시 동남구 동면 죽계리 340-7,127.37816877226425,36.79569099044824,도로명 주소,동면,
충청남도 천안시 동남구 동면 죽계리 477,gimi9,ok,충청남도 천안시 동남구 동면 죽계리 477,127.38472311273536,36.79766273533398,도로명 주소,동면,
충청남도 천안시 동남구 동면 죽계리 94-3,gimi9,ok,충청남도 천안시 동남구 동면 죽계리 94-3,127.38988074389331,36.79673009000668,도로명 주소,동면,
충청남도 천안시 동남구 만남로 18 (신부동),gimi9,ok,충청남도 천안시 동남구 만남로 18 (신부동),127.15418944649215,36.81823811012893,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 26, 3층 301호 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 26, 3층 301호 (신부동)",127.15498413282096,36.81854691689827,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 36 (신부동, 광동빌딩)",gimi9,ok,"충청남도 천안시 동남구 만남로 36 (신부동, 광동빌딩)",127.15611620077888,36.818631328021205,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 40, 5층 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 40, 5층 (신부동)",127.15662087060883,36.81860574241477,도로명 주소,신안동,
충청남도 천안시 동남구 만남로 43 (신부동),gimi9,ok,충청남도 천안시 동남구 만남로 43 (신부동),127.15630862874558,36.820732299629256,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 6, CARAT21 6층 6001~6004호 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 6, CARAT21 6층 6001~6004호 (신부동)",127.15275331531602,36.818450276902894,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 64, 2층 202,203호 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 64, 2층 202,203호 (신부동)",127.1593206533298,36.81914537268086,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 64, 3층 301호 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 64, 3층 301호 (신부동)",127.1593206533298,36.81914537268086,도로명 주소,신안동,
"충청남도 천안시 동남구 만남로 90, 2~5층 (신부동)",gimi9,ok,"충청남도 천안시 동남구 만남로 90, 2~5층 (신부동)",127.16162450984228,36.82048612032711,도로명 주소,신안동,
"충청남도 천안시 동남구 먹거리2길 6-1, 2층(신부동)",gimi9,ok,"충청남도 천안시 동남구 먹거리2길 6-1, 2층(신부동)",127.1540237799496,36.817678719331646,도로명 주소,신안동,
"충청남도 천안시 동남구 먹거리8길 44, 3층 (신부동)",gimi9,ok,"충청남도 천안시 동남구 먹거리8길 44, 3층 (신부동)",127.15795060886872,36.81710412637443,도로명 주소,신안동,
충청남도 천안시 동남구 명동길 47 (대흥동),gimi9,ok,충청남도 천안시 동남구 명동길 47 (대흥동),127.14837369897609,36.8076829108651,도로명 주소,중앙동,
"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",gimi9,ok,"충청남도 천안시 동남구 명동길 47 (대흥동,오렌지씨네스타 5층)",127.14837369897609,36.8076829108651,도로명 주소,중앙동,
충청남도 천안시 동남구 명동길 50 (문화동),gimi9,ok,충청남도 천안시 동남구 명동길 50 (문화동),127.14917043263236,36.80751398505696,도로명 주소,문성동,
충청남도 천안시 동남구 목천읍 교천2길 7,gimi9,ok,충청남도 천안시 동남구 목천읍 교천2길 7,127.19769136720276,36.781612749829314,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 교천리 18,gimi9,ok,충청남도 천안시 동남구 목천읍 교천리 18,127.1968191927932,36.78680300997556,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 교천리 240-3,gimi9,ok,충청남도 천안시 동남구 목천읍 교천리 240-3,127.19666509335956,36.7860904543579,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 교촌리 123,gimi9,ok,충청남도 천안시 동남구 목천읍 교촌리 123,127.22972221766466,36.80037734943826,지번 주소,목천읍,
충청남도 천안시 동남구 목천읍 남부대로 835,gimi9,ok,충청남도 천안시 동남구 목천읍 남부대로 835,127.21014436119565,36.78106680200064,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 남화리 61-1일원,gimi9,ok,충청남도 천안시 동남구 목천읍 남화리 61-1일원,127.2337647446952,36.775668093131166,지번 주소,목천읍,
충청남도 천안시 동남구 목천읍 도장1길 73,gimi9,ok,충청남도 천안시 동남구 목천읍 도장1길 73,127.17988098475531,36.747174892522,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 도장리 349-3,gimi9,ok,충청남도 천안시 동남구 목천읍 도장리 349-3,127.17965552440172,36.74751684719714,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 동리 115-6,gimi9,ok,충청남도 천안시 동남구 목천읍 동리 115-6,127.2391810270257,36.78779589476972,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 동평1길 49,gimi9,ok,충청남도 천안시 동남구 목천읍 동평1길 49,127.23444574997758,36.77316351607276,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 동평1길 65,gimi9,ok,충청남도 천안시 동남구 목천읍 동평1길 65,127.23416196690602,36.77421760759254,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 동평리 230,gimi9,ok,충청남도 천안시 동남구 목천읍 동평리 230,127.23725406348667,36.77443181595868,지번 주소,목천읍,
충청남도 천안시 동남구 목천읍 동평리 45-2 일원,gimi9,ok,충청남도 천안시 동남구 목천읍 동평리 45-2 일원,127.23421933662244,36.77707540936129,지번 주소,목천읍,
충청남도 천안시 동남구 목천읍 목천안터1길 15,gimi9,ok,충청남도 천안시 동남구 목천읍 목천안터1길 15,127.20702639603724,36.77582160407097,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 목천안터1길 55,gimi9,ok,충청남도 천안시 동남구 목천읍 목천안터1길 55,127.20752618047608,36.77700376426327,도로명 주소,목천읍,
"충청남도 천안시 동남구 목천읍 목천안터2길 28, 1층",gimi9,ok,"충청남도 천안시 동남구 목천읍 목천안터2길 28, 1층",127.21161603572662,36.77712192569619,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼방로 145,gimi9,ok,충청남도 천안시 동남구 목천읍 삼방로 145,127.23188281881228,36.78190206532388,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼방로 502-14,gimi9,ok,충청남도 천안시 동남구 목천읍 삼방로 502-14,127.22988346386724,36.808725326523465,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼방로 731,gimi9,ok,충청남도 천안시 동남구 목천읍 삼방로 731,127.22562662241226,36.82664577562768,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼방로 733,gimi9,ok,충청남도 천안시 동남구 목천읍 삼방로 733,127.2260217926815,36.82588945499449,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼성5길 22-14,gimi9,ok,충청남도 천안시 동남구 목천읍 삼성5길 22-14,127.17538156891108,36.75957603275402,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼성5길 54,gimi9,ok,충청남도 천안시 동남구 목천읍 삼성5길 54,127.17803373787036,36.760322448727976,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 삼성리 115,gimi9,ok,충청남도 천안시 동남구 목천읍 삼성리 115,127.16905989099844,36.75761143106576,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 서리1길 41-7,gimi9,ok,충청남도 천안시 동남구 목천읍 서리1길 41-7,127.23496605992057,36.78477565925931,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 서리2길 31,gimi9,ok,충청남도 천안시 동남구 목천읍 서리2길 31,127.23566165724638,36.78782418486468,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 신계1길 23,gimi9,ok,충청남도 천안시 동남구 목천읍 신계1길 23,127.19605796175247,36.76954687256533,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 신계1길 25,gimi9,ok,충청남도 천안시 동남구 목천읍 신계1길 25,127.19582162212932,36.76980769611751,도로명 주소,목천읍,
"충청남도 천안시 동남구 목천읍 신계1길 41, 107호 (동우아파트 상가)",gimi9,ok,"충청남도 천안시 동남구 목천읍 신계1길 41, 107호 (동우아파트 상가)",127.19513061403693,36.77169902319604,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 신계5길 27,gimi9,ok,충청남도 천안시 동남구 목천읍 신계5길 27,127.21609948232134,36.77383331496849,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 운전3길 20,gimi9,ok,충청남도 천안시 동남구 목천읍 운전3길 20,127.23836571939285,36.76716837629616,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 운전4길 6,gimi9,ok,충청남도 천안시 동남구 목천읍 운전4길 6,127.23093169568132,36.76544800731594,도로명 주소,목천읍,
"충청남도 천안시 동남구 목천읍 운전4길 6, 1층",gimi9,ok,"충청남도 천안시 동남구 목천읍 운전4길 6, 1층",127.23093169568132,36.76544800731594,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 응원1길 69-35,gimi9,ok,충청남도 천안시 동남구 목천읍 응원1길 69-35,127.17628078172817,36.7668804289506,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 응원리 222,gimi9,ok,충청남도 천안시 동남구 목천읍 응원리 222,127.18441248126548,36.76214248904633,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 천정1길 243-9,gimi9,ok,충청남도 천안시 동남구 목천읍 천정1길 243-9,127.20236813909456,36.76912110333359,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 천정리 산3-1,gimi9,ok,충청남도 천안시 동남구 목천읍 천정리 산3-1,127.20817863193652,36.75860626308709,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 충절로 1156,gimi9,ok,충청남도 천안시 동남구 목천읍 충절로 1156,127.23582617046031,36.76928123199156,도로명 주소,목천읍,
"충청남도 천안시 동남구 목천읍 충절로 817, 2층",gimi9,ok,"충청남도 천안시 동남구 목천읍 충절로 817, 2층",127.20253342881752,36.76984269635766,도로명 주소,목천읍,
충청남도 천안시 동남구 목천읍 충절로 876(목천읍),gimi9,ok,충청남도 천안시 동남구 목천읍 충절로 876(목천읍),127.20826206221204,36.7720745088227,도로명 주소,목천읍,
